team1,team2,date,year,time,place,toss_winner,toss_decision,winner,winner_number,won_toss_game,tied,runs_won_by,wickets_won_by,balls_remaining
9,12,21-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bowl,Kings XI Punjab,9,1,,,7,
7,5,1-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",5,bat,Sunrisers Hyderabad,7,0,,,7,
2,8,1-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Shaheed Veer Narayan Singh International Stadium, Raipur",8,bat,Delhi Capitals,2,0,,,7,
5,7,13-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",7,bat,Mumbai Indians,5,0,,,7,
3,9,14-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",9,bowl,Kings XI Punjab,9,1,,,7,
3,5,19-Apr-14,2014,10:30 AM GMT / 02:30 PM LOCAL,"Dubai International Cricket Stadium , Dubai",3,bowl,Royal Challengers Bangalore,3,1,,,7,
4,9,20-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Sharjah Cricket Stadium, Sharjah",9,bowl,Kings XI Punjab,9,1,,,7,
6,5,25-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Dubai International Cricket Stadium , Dubai",5,bat,Chennai Super Kings,6,0,,,7,
2,4,3-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",4,bowl,Rajasthan Royals,4,1,,,7,
7,5,12-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bat,Mumbai Indians,5,0,,,7,
7,8,18-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bat,Kolkata Knight Riders,8,0,,,7,
7,3,20-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",3,bat,Sunrisers Hyderabad,7,0,,,7,
9,5,21-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",5,bowl,Mumbai Indians,5,1,,,7,
9,2,25-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bowl,Kings XI Punjab,9,1,,,7,
6,5,28-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",6,bowl,Chennai Super Kings,6,1,,,7,
8,5,8-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Kolkata Knight Riders,8,1,,,7,
4,5,14-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",5,bat,Rajasthan Royals,4,0,,,7,
8,6,30-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Kolkata Knight Riders,8,1,,,7,
3,8,2-May-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Royal Challengers Bangalore,3,1,,,7,
9,6,16-May-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bat,Chennai Super Kings,6,0,,,7,
13,10,14-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",10,bat,Gujarat Lions,13,0,,,7,
3,2,17-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",2,bowl,Delhi Capitals,2,1,,,7,
7,5,18-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bowl,Sunrisers Hyderabad,7,1,,,7,
2,10,5-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",10,bowl,Rising Pune Supergiants,10,1,,,7,
3,10,7-May-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Royal Challengers Bangalore,3,1,,,7,
7,2,12-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",2,bowl,Delhi Capitals,2,1,,,7,
5,9,13-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",5,bat,Kings XI Punjab,9,0,,,7,
9,7,15-May-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bat,Sunrisers Hyderabad,7,0,,,7,
10,5,6-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",10,bowl,Rising Pune Supergiants,10,1,,,7,
13,10,14-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",13,bowl,Gujarat Lions,13,1,,,7,
