team1,team2,date,year,time,place,toss_winner,toss_decision,winner,won_toss_game,tied,runs_won_by,wickets_won_by,balls_remaining
DELHI CAPITALS,KOLKATA KNIGHT RIDERS,1-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Shaheed Veer Narayan Singh International Stadium, Raipur",Kolkata Knight Riders,bat,Delhi Capitals,0,,,7,
MUMBAI INDIANS,SUNRISERS HYDERABAD,13-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,bat,Mumbai Indians,0,,,7,
ROYAL CHALLENGERS BANGALORE,KINGS XI PUNJAB,14-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Kings XI Punjab,bowl,Kings XI Punjab,1,,,7,
ROYAL CHALLENGERS BANGALORE,MUMBAI INDIANS,19-Apr-14,2014,10:30 AM GMT / 02:30 PM LOCAL,"Dubai International Cricket Stadium , Dubai",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,7,
RAJASTHAN ROYALS,KINGS XI PUNJAB,20-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Sharjah Cricket Stadium, Sharjah",Kings XI Punjab,bowl,Kings XI Punjab,1,,,7,
CHENNAI SUPER KINGS,MUMBAI INDIANS,25-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Dubai International Cricket Stadium , Dubai",Mumbai Indians,bat,Chennai Super Kings,0,,,7,
DELHI CAPITALS,RAJASTHAN ROYALS,3-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bowl,Rajasthan Royals,1,,,7,
SUNRISERS HYDERABAD,MUMBAI INDIANS,12-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,bat,Mumbai Indians,0,,,7,
SUNRISERS HYDERABAD,KOLKATA KNIGHT RIDERS,18-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,bat,Kolkata Knight Riders,0,,,7,
SUNRISERS HYDERABAD,ROYAL CHALLENGERS BANGALORE,20-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Royal Challengers Bangalore,bat,Sunrisers Hyderabad,0,,,7,
KINGS XI PUNJAB,MUMBAI INDIANS,21-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Mumbai Indians,bowl,Mumbai Indians,1,,,7,
KINGS XI PUNJAB,DELHI CAPITALS,25-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bowl,Kings XI Punjab,1,,,7,
CHENNAI SUPER KINGS,MUMBAI INDIANS,28-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Chennai Super Kings,bowl,Chennai Super Kings,1,,,7,
KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,8-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,7,
RAJASTHAN ROYALS,MUMBAI INDIANS,14-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",Mumbai Indians,bat,Rajasthan Royals,0,,,7,
KOLKATA KNIGHT RIDERS,CHENNAI SUPER KINGS,30-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,7,
ROYAL CHALLENGERS BANGALORE,KOLKATA KNIGHT RIDERS,2-May-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,7,
KINGS XI PUNJAB,CHENNAI SUPER KINGS,16-May-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bat,Chennai Super Kings,0,,,7,
GUJARAT LIONS,Rising Pune Supergiants,14-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",Rising Pune Supergiants,bat,Gujarat Lions,0,,,7,
ROYAL CHALLENGERS BANGALORE,DELHI CAPITALS,17-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Delhi Capitals,bowl,Delhi Capitals,1,,,7,
SUNRISERS HYDERABAD,MUMBAI INDIANS,18-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,bowl,Sunrisers Hyderabad,1,,,7,
DELHI CAPITALS,Rising Pune Supergiants,5-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Rising Pune Supergiants,bowl,Rising Pune Supergiants,1,,,7,
ROYAL CHALLENGERS BANGALORE,Rising Pune Supergiants,7-May-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,7,
SUNRISERS HYDERABAD,DELHI CAPITALS,12-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Delhi Capitals,bowl,Delhi Capitals,1,,,7,
MUMBAI INDIANS,KINGS XI PUNJAB,13-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Mumbai Indians,bat,Kings XI Punjab,0,,,7,
KINGS XI PUNJAB,SUNRISERS HYDERABAD,15-May-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bat,Sunrisers Hyderabad,0,,,7,
Rising Pune Supergiants,MUMBAI INDIANS,6-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiants,bowl,Rising Pune Supergiants,1,,,7,
GUJARAT LIONS,Rising Pune Supergiants,14-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions,bowl,Gujarat Lions,1,,,7,
Rising Pune Supergiants,KOLKATA KNIGHT RIDERS,26-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,7,
ROYAL CHALLENGERS BANGALORE,GUJARAT LIONS,27-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Gujarat Lions,bowl,Gujarat Lions,1,,,7,
KOLKATA KNIGHT RIDERS,DELHI CAPITALS,28-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,7,
DELHI CAPITALS,GUJARAT LIONS,4-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bowl,Delhi Capitals,1,,,7,
SUNRISERS HYDERABAD,MUMBAI INDIANS,8-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians,bat,Sunrisers Hyderabad,0,,,7,
SUNRISERS HYDERABAD,KOLKATA KNIGHT RIDERS,17-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,7,
MUMBAI INDIANS,DELHI CAPITALS,14-Apr-18,2018,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",Delhi Capitals,bowl,Delhi Capitals,1,,,7,
RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,18-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,7,
SUNRISERS HYDERABAD,DELHI CAPITALS,5-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Delhi Capitals,bat,Sunrisers Hyderabad,0,,,7,
MUMBAI INDIANS,RAJASTHAN ROYALS,13-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Rajasthan Royals,bowl,Rajasthan Royals,1,,,7,
CHENNAI SUPER KINGS,ROYAL CHALLENGERS BANGALORE,23-Mar-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bowl,Chennai Super Kings,1,,,7,
RAJASTHAN ROYALS,ROYAL CHALLENGERS BANGALORE,2-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bowl,Rajasthan Royals,1,,,7,
CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,9-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bowl,Chennai Super Kings,1,,,7,
KOLKATA KNIGHT RIDERS,DELHI CAPITALS,12-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Delhi Capitals,bowl,Delhi Capitals,1,,,7,
RAJASTHAN ROYALS,SUNRISERS HYDERABAD,27-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bowl,Rajasthan Royals,1,,,7,
KINGS XI PUNJAB,KOLKATA KNIGHT RIDERS,3-May-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,7,
RAJASTHAN ROYALS,KINGS XI PUNJAB,21-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Kings XI Punjab,bat,Rajasthan Royals,0,,,6,11
ROYAL CHALLENGERS BANGALORE,KINGS XI PUNJAB,5-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Kings XI Punjab,bowl,Kings XI Punjab,1,,,6,10
KOLKATA KNIGHT RIDERS,RAJASTHAN ROYALS,20-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Rajasthan Royals,bowl,Rajasthan Royals,1,,,6,21
KINGS XI PUNJAB,DECCAN CHARGERS,23-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bowl,Kings XI Punjab,1,,,6,3
ROYAL CHALLENGERS BANGALORE,DELHI CAPITALS,26-Apr-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"St George's Park, Port Elizabeth",Royal Challengers Bangalore,bat,Delhi Capitals,0,,,6,4
CHENNAI SUPER KINGS,DECCAN CHARGERS,27-Apr-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Kingsmead, Durban",Deccan Chargers,bowl,Deccan Chargers,1,,,6,3
DECCAN CHARGERS,DELHI CAPITALS,30-Apr-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"SuperSport Park, Centurion",Delhi Capitals,bowl,Delhi Capitals,1,,,6,8
KINGS XI PUNJAB,KOLKATA KNIGHT RIDERS,3-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"St George's Park, Port Elizabeth",Kolkata Knight Riders,bat,Kings XI Punjab,0,,,6,0
ROYAL CHALLENGERS BANGALORE,KOLKATA KNIGHT RIDERS,12-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"SuperSport Park, Centurion",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,6,4
DELHI CAPITALS,KINGS XI PUNJAB,15-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Mangaung Oval, Bloemfontein",Kings XI Punjab,bowl,Kings XI Punjab,1,,,6,5
DECCAN CHARGERS,KOLKATA KNIGHT RIDERS,16-May-09,2009,02:45 PM GMT / 04:45 PM LOCAL,"The Wanderers Stadium, Johannesburg",Deccan Chargers,bowl,Deccan Chargers,1,,,6,0
DELHI CAPITALS,DECCAN CHARGERS,22-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"SuperSport Park, Centurion",Deccan Chargers,bowl,Deccan Chargers,1,,,6,14
ROYAL CHALLENGERS BANGALORE,CHENNAI SUPER KINGS,23-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"The Wanderers Stadium, Johannesburg",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,6,7
RAJASTHAN ROYALS,DELHI CAPITALS,15-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",Delhi Capitals,bowl,Delhi Capitals,1,,,6,17
KINGS XI PUNJAB,ROYAL CHALLENGERS BANGALORE,2-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bat,Royal Challengers Bangalore,0,,,6,5
KINGS XI PUNJAB,MUMBAI INDIANS,9-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Mumbai Indians,bat,Kings XI Punjab,0,,,6,4
DECCAN CHARGERS,CHENNAI SUPER KINGS,10-Apr-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"Vidarbha Cricket Association Stadium, Nagpur",Chennai Super Kings,bat,Deccan Chargers,0,,,6,5
CHENNAI SUPER KINGS,DELHI CAPITALS,15-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Delhi Capitals,0,,,6,8
KINGS XI PUNJAB,CHENNAI SUPER KINGS,18-Apr-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Chennai Super Kings,bowl,Chennai Super Kings,1,,,6,2
KOCHI TUSKERS KERALA,ROYAL CHALLENGERS BANGALORE,9-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Nehru Stadium, Kochi",Kochi Tuskers Kerala,bat,Royal Challengers Bangalore,0,,,6,
RAJASTHAN ROYALS,DELHI CAPITALS,12-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Delhi Capitals,bat,Rajasthan Royals,0,,,6,
KINGS XI PUNJAB,CHENNAI SUPER KINGS,13-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bowl,Kings XI Punjab,1,,,6,
RAJASTHAN ROYALS,PUNE WARRIORS,1-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bowl,Rajasthan Royals,1,,,6,
DECCAN CHARGERS,PUNE WARRIORS,10-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Deccan Chargers,bat,Pune Warriors,0,,,6,
KOCHI TUSKERS KERALA,KINGS XI PUNJAB,13-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Holkar Cricket Stadium, Indore",Kings XI Punjab,bowl,Kings XI Punjab,1,,,6,
PUNE WARRIORS,DECCAN CHARGERS,16-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,bowl,Deccan Chargers,1,,,6,
ROYAL CHALLENGERS BANGALORE,CHENNAI SUPER KINGS,24-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Chennai Super Kings,bowl,Chennai Super Kings,1,,,6,
ROYAL CHALLENGERS BANGALORE,PUNE WARRIORS,17-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Pune Warriors,bat,Royal Challengers Bangalore,0,,,6,
MUMBAI INDIANS,KINGS XI PUNJAB,22-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Kings XI Punjab,0,,,6,
RAJASTHAN ROYALS,DELHI CAPITALS,1-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,Delhi Capitals,0,,,6,
DELHI CAPITALS,KOLKATA KNIGHT RIDERS,7-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,Kolkata Knight Riders,0,,,6,
KINGS XI PUNJAB,CHENNAI SUPER KINGS,17-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab,bowl,Kings XI Punjab,1,,,6,
KINGS XI PUNJAB,DELHI CAPITALS,19-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Capitals,bowl,Delhi Capitals,1,,,6,
KOLKATA KNIGHT RIDERS,DELHI CAPITALS,3-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,6,
RAJASTHAN ROYALS,KINGS XI PUNJAB,14-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bowl,Rajasthan Royals,1,,,6,
KOLKATA KNIGHT RIDERS,KINGS XI PUNJAB,26-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kings XI Punjab,bat,Kolkata Knight Riders,0,,,6,
SUNRISERS HYDERABAD,DELHI CAPITALS,4-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Delhi Capitals,bat,Sunrisers Hyderabad,0,,,6,
KINGS XI PUNJAB,ROYAL CHALLENGERS BANGALORE,6-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bowl,Kings XI Punjab,1,,,6,
CHENNAI SUPER KINGS,KINGS XI PUNJAB,18-Apr-14,2014,10:30 AM GMT / 02:30 PM LOCAL,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,bat,Kings XI Punjab,0,,,6,
RAJASTHAN ROYALS,ROYAL CHALLENGERS BANGALORE,26-Apr-14,2014,10:30 AM GMT / 02:30 PM LOCAL,"Sheikh Zayed Stadium, Abu Dhabi",Rajasthan Royals,bowl,Rajasthan Royals,1,,,6,
DELHI CAPITALS,MUMBAI INDIANS,27-Apr-14,2014,10:30 AM GMT / 02:30 PM LOCAL,"Sharjah Cricket Stadium, Sharjah",Mumbai Indians,bat,Delhi Capitals,0,,,6,
SUNRISERS HYDERABAD,KINGS XI PUNJAB,14-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Kings XI Punjab,bowl,Kings XI Punjab,1,,,6,
KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,14-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Barabati Stadium, Cuttack",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,6,
CHENNAI SUPER KINGS,SUNRISERS HYDERABAD,22-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"JSCA International Stadium Complex, Ranchi",Sunrisers Hyderabad,bowl,Sunrisers Hyderabad,1,,,6,
SUNRISERS HYDERABAD,RAJASTHAN ROYALS,16-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Rajasthan Royals,bowl,Rajasthan Royals,1,,,6,
MUMBAI INDIANS,CHENNAI SUPER KINGS,17-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Chennai Super Kings,0,,,6,
DELHI CAPITALS,KOLKATA KNIGHT RIDERS,20-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,6,
CHENNAI SUPER KINGS,MUMBAI INDIANS,8-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Mumbai Indians,0,,,6,
DELHI CAPITALS,CHENNAI SUPER KINGS,12-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Shaheed Veer Narayan Singh International Stadium, Raipur",Chennai Super Kings,bat,Delhi Capitals,0,,,6,
SUNRISERS HYDERABAD,ROYAL CHALLENGERS BANGALORE,15-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,bat,Royal Challengers Bangalore,0,,,6,
KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,13-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Mumbai Indians,bowl,Mumbai Indians,1,,,6,
KINGS XI PUNJAB,Rising Pune Supergiants,17-Apr-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Rising Pune Supergiants,bat,Kings XI Punjab,0,,,6,
KINGS XI PUNJAB,KOLKATA KNIGHT RIDERS,19-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,6,
MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE,20-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Mumbai Indians,1,,,6,
GUJARAT LIONS,ROYAL CHALLENGERS BANGALORE,24-Apr-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",Royal Challengers Bangalore,bat,Gujarat Lions,0,,,6,
MUMBAI INDIANS,KOLKATA KNIGHT RIDERS,28-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Mumbai Indians,1,,,6,
ROYAL CHALLENGERS BANGALORE,MUMBAI INDIANS,11-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians,bowl,Mumbai Indians,1,,,6,
GUJARAT LIONS,KOLKATA KNIGHT RIDERS,19-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Green Park, Kanpur",Gujarat Lions,bowl,Gujarat Lions,1,,,6,
DELHI CAPITALS,SUNRISERS HYDERABAD,20-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Shaheed Veer Narayan Singh International Stadium, Raipur",Delhi Capitals,bowl,Delhi Capitals,1,,,6,
GUJARAT LIONS,MUMBAI INDIANS,21-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Green Park, Kanpur",Gujarat Lions,bowl,Gujarat Lions,1,,,6,
DELHI CAPITALS,ROYAL CHALLENGERS BANGALORE,22-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Shaheed Veer Narayan Singh International Stadium, Raipur",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,6,
KINGS XI PUNJAB,Rising Pune Supergiants,8-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Holkar Cricket Stadium, Indore",Kings XI Punjab,bowl,Kings XI Punjab,1,,,6,
MUMBAI INDIANS,GUJARAT LIONS,16-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Mumbai Indians,1,,,6,
Rising Pune Supergiants,SUNRISERS HYDERABAD,22-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiants,bowl,Rising Pune Supergiants,1,,,6,
DELHI CAPITALS,SUNRISERS HYDERABAD,2-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bowl,Delhi Capitals,1,,,6,
ROYAL CHALLENGERS BANGALORE,KOLKATA KNIGHT RIDERS,7-May-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,6,
KINGS XI PUNJAB,GUJARAT LIONS,7-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions,bowl,Gujarat Lions,1,,,6,
MUMBAI INDIANS,KOLKATA KNIGHT RIDERS,19-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians,bowl,Mumbai Indians,1,,,6,
KINGS XI PUNJAB,DELHI CAPITALS,8-Apr-18,2018,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bowl,Kings XI Punjab,1,,,6,
ROYAL CHALLENGERS BANGALORE,DELHI CAPITALS,21-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,6,
ROYAL CHALLENGERS BANGALORE,KOLKATA KNIGHT RIDERS,29-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,6,
KOLKATA KNIGHT RIDERS,CHENNAI SUPER KINGS,3-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,6,
KINGS XI PUNJAB,MUMBAI INDIANS,4-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Holkar Cricket Stadium, Indore",Mumbai Indians,bowl,Mumbai Indians,1,,,6,
CHENNAI SUPER KINGS,ROYAL CHALLENGERS BANGALORE,5-May-18,2018,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bowl,Chennai Super Kings,1,,,6,
KINGS XI PUNJAB,RAJASTHAN ROYALS,6-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Holkar Cricket Stadium, Indore",Kings XI Punjab,bowl,Kings XI Punjab,1,,,6,
KOLKATA KNIGHT RIDERS,RAJASTHAN ROYALS,15-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,6,
KOLKATA KNIGHT RIDERS,SUNRISERS HYDERABAD,24-Mar-19,2019,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,6,
