team1,team2,date,year,time,place,toss_winner,toss_decision,winner,won_toss_game,tied,runs_won_by,wickets_won_by,balls_remaining
GUJARAT LIONS,ROYAL CHALLENGERS BANGALORE,24-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,4,
GUJARAT LIONS,SUNRISERS HYDERABAD,27-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,bowl,Sunrisers Hyderabad,1,,,4,
MUMBAI INDIANS,KOLKATA KNIGHT RIDERS,9-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Mumbai Indians,1,,,4,
MUMBAI INDIANS,SUNRISERS HYDERABAD,12-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Mumbai Indians,1,,,4,
ROYAL CHALLENGERS BANGALORE,MUMBAI INDIANS,14-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians,bowl,Mumbai Indians,1,,,4,
DELHI CAPITALS,KOLKATA KNIGHT RIDERS,17-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,Kolkata Knight Riders,0,,,4,
KOLKATA KNIGHT RIDERS,GUJARAT LIONS,21-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Gujarat Lions,bowl,Gujarat Lions,1,,,4,
KOLKATA KNIGHT RIDERS,Rising Pune Supergiants,3-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Rising Pune Supergiants,bowl,Rising Pune Supergiants,1,,,4,
KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,8-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,4,
ROYAL CHALLENGERS BANGALORE,KINGS XI PUNJAB,13-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,4,
RAJASTHAN ROYALS,CHENNAI SUPER KINGS,11-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,bat,Rajasthan Royals,0,,,4,
ROYAL CHALLENGERS BANGALORE,DELHI CAPITALS,7-Apr-19,2019,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Delhi Capitals,bowl,Delhi Capitals,1,,,4,
RAJASTHAN ROYALS,CHENNAI SUPER KINGS,11-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,bowl,Chennai Super Kings,1,,,4,
MUMBAI INDIANS,RAJASTHAN ROYALS,13-Apr-19,2019,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",Rajasthan Royals,bowl,Rajasthan Royals,1,,,4,
ROYAL CHALLENGERS BANGALORE,SUNRISERS HYDERABAD,4-May-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,4,
DECCAN CHARGERS,RAJASTHAN ROYALS,24-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Rajasthan Royals,bowl,Rajasthan Royals,1,,,3,1
RAJASTHAN ROYALS,DELHI CAPITALS,11-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bowl,Rajasthan Royals,1,,,3,5
KOLKATA KNIGHT RIDERS,KINGS XI PUNJAB,25-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kings XI Punjab,bat,Kolkata Knight Riders,0,,,3,2
CHENNAI SUPER KINGS,RAJASTHAN ROYALS,1-Jun-08,2008,02:45 PM GMT / 08:15 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",Rajasthan Royals,bowl,Rajasthan Royals,1,,,3,0
DECCAN CHARGERS,RAJASTHAN ROYALS,2-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"St George's Park, Port Elizabeth",Deccan Chargers,bat,Rajasthan Royals,0,,,3,2
DECCAN CHARGERS,KINGS XI PUNJAB,9-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Diamond Oval, Kimberley",Kings XI Punjab,bowl,Kings XI Punjab,1,,,3,1
PUNE WARRIORS,DELHI CAPITALS,17-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,bowl,Delhi Capitals,1,,,3,
DELHI CAPITALS,ROYAL CHALLENGERS BANGALORE,26-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,3,
DELHI CAPITALS,SUNRISERS HYDERABAD,12-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,Sunrisers Hyderabad,0,,,3,
KOLKATA KNIGHT RIDERS,KINGS XI PUNJAB,1-Jun-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,3,
KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,11-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,3,
DELHI CAPITALS,RAJASTHAN ROYALS,12-Apr-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bowl,Rajasthan Royals,1,,,3,
CHENNAI SUPER KINGS,ROYAL CHALLENGERS BANGALORE,22-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"JSCA International Stadium Complex, Ranchi",Chennai Super Kings,bowl,Chennai Super Kings,1,,,3,
MUMBAI INDIANS,GUJARAT LIONS,16-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Gujarat Lions,bowl,Gujarat Lions,1,,,3,
Rising Pune Supergiants,GUJARAT LIONS,29-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Gujarat Lions,bowl,Gujarat Lions,1,,,3,
RAJASTHAN ROYALS,MUMBAI INDIANS,22-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,bat,Rajasthan Royals,0,,,3,
MUMBAI INDIANS,KINGS XI PUNJAB,10-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Mumbai Indians,1,,,3,
KOLKATA KNIGHT RIDERS,RAJASTHAN ROYALS,25-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Rajasthan Royals,bowl,Rajasthan Royals,1,,,3,
ROYAL CHALLENGERS BANGALORE,CHENNAI SUPER KINGS,14-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Kingsmead, Durban",Chennai Super Kings,bat,Royal Challengers Bangalore,0,,,2,2
MUMBAI INDIANS,CHENNAI SUPER KINGS,6-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Mumbai Indians,1,,,2,
Rising Pune Supergiants,KOLKATA KNIGHT RIDERS,24-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,2,
GUJARAT LIONS,DELHI CAPITALS,10-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Green Park, Kanpur",Delhi Capitals,bowl,Delhi Capitals,1,,,2,
SUNRISERS HYDERABAD,CHENNAI SUPER KINGS,22-May-18,2018,01:30 PM GMT / 07:00 PM LOCAL,"Wankhede Stadium, Mumbai",Chennai Super Kings,bowl,Chennai Super Kings,1,,,2,
DELHI CAPITALS,SUNRISERS HYDERABAD,8-May-19,2019,02:00 PM GMT / 07:30 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Capitals,bowl,Delhi Capitals,1,,,2,
KOLKATA KNIGHT RIDERS,KINGS XI PUNJAB,9-May-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Kings XI Punjab,bat,Kolkata Knight Riders,0,,,1,
MUMBAI INDIANS,CHENNAI SUPER KINGS,7-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Chennai Super Kings,bowl,Chennai Super Kings,1,,,1,
SUNRISERS HYDERABAD,MUMBAI INDIANS,12-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,bowl,Sunrisers Hyderabad,1,,,1,
ROYAL CHALLENGERS BANGALORE,KOLKATA KNIGHT RIDERS,18-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Kolkata Knight Riders,0,,140,,
KINGS XI PUNJAB,CHENNAI SUPER KINGS,19-Apr-08,2008,11:30 AM GMT / 05:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chennai Super Kings,bat,Chennai Super Kings,1,,33,,
CHENNAI SUPER KINGS,MUMBAI INDIANS,23-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Mumbai Indians,bowl,Chennai Super Kings,0,,6,,
KINGS XI PUNJAB,MUMBAI INDIANS,25-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Mumbai Indians,bowl,Kings XI Punjab,0,,66,,
ROYAL CHALLENGERS BANGALORE,CHENNAI SUPER KINGS,28-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,bat,Chennai Super Kings,1,,13,,
DELHI CAPITALS,ROYAL CHALLENGERS BANGALORE,30-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,bowl,Delhi Capitals,0,,10,,
RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,1-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,Rajasthan Royals,1,,45,,
